"t","id","name","active","x","y","z","v","distance","location","terrain type","last_goal_started"
"s","","","","m","m","m","m/s","m","","",""
0.000000,0,"00001",0,-10.114044,-2.057823,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,1,"00002",0,-9.618715,-2.915757,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,2,"00003",0,-10.114044,0.801956,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,3,"00004",0,-7.637402,-2.915757,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,4,"00005",0,-9.618715,-0.627934,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,5,"00006",0,-10.609372,-1.199890,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,6,"00007",0,-11.104700,4.233691,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,7,"00008",0,-6.646746,-4.059669,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,8,"00009",0,-7.142074,-3.773691,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,9,"00010",0,-9.123387,-0.341956,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,10,"00011",0,-6.646746,-2.343801,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,11,"00012",0,-7.142074,-0.913912,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,12,"00013",0,-6.646746,2.231845,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,13,"00014",0,-9.123387,4.233691,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,14,"00015",0,-6.646746,2.803801,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,15,"00016",0,-8.628059,-0.055978,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,16,"00017",0,-8.628059,-2.343801,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,17,"00018",0,-7.142074,1.945867,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,18,"00019",0,-8.132730,-2.057823,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,19,"00020",0,-9.618715,-4.631624,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,20,"00021",0,-9.618715,4.519669,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,21,"00022",0,-8.132730,-2.629779,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,22,"00023",0,-7.142074,-4.345647,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,23,"00024",0,-7.142074,-1.485867,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,24,"00025",0,-7.637402,2.231845,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,25,"00026",0,-11.104700,-1.485867,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,26,"00027",0,-6.646746,4.519669,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,27,"00028",0,-10.114044,3.661735,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,28,"00029",0,-8.132730,-4.345647,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,29,"00030",0,-9.123387,-2.057823,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,30,"00031",0,-11.104700,-4.345647,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,31,"00032",0,-8.628059,1.659890,0.020000,0.000000,0.000000,"Room07","level",0
0.000000,32,"00033",0,-10.609372,-2.915757,0.020000,0.000000,0.000000,"Room07","level",0
